FFT	AudioTools 	v14.10.3 iPad battery  78%	2021/07/10 14:47	Headset Mic 3 Low Range	EB05A3E2-10AC-49FE-A287-06AC06EBE5AD
Frequency	dB	Unweighted
6375	52.8
6467	52.9
6561	53
6657	53.2
6754	53.4
6852	53.6
6952	53.7
7053	53.8
7155	53.9
7259	53.9
7365	53.8
7472	53.7
7581	53.6
7691	53.3
7803	53.1
7916	52.7
8032	52.4
8148	52.1
8267	51.7
8387	51.2
8509	50.7
8633	50.2
8758	49.6
8886	49.1
9015	48.6
9146	48.2
9279	47.9
9414	47.6
9551	47.5
9690	47.5
9831	47.6
9974	47.9
10119	48.2
10266	48.7
10416	49.1
10567	49.6
10721	50
10877	50.3
11035	50.4
11196	50.4
11358	50.2
11524	50
11691	49.7
11861	49.3
12034	49
12209	48.8
12386	48.8
12567	48.8
12749	48.8
12935	49
13123	49.2
13314	49.5
13507	49.8
13704	50.2
13903	50.5
14105	50.8
14311	51.2
14519	51.6
14730	51.8
14944	52
15162	52
15382	51.6
15606	51.2
15833	50.6
16063	49.8
16297	48.8
16534	48
16774	47.2
17018	46.6
17266	46
17517	45.5
17772	44.9
18030	44.3
18293	43.6
18559	42.8
18829	41.8
19102	40.6
19380	39
20000	37.6
overall dB	84.3 dB
decay	Average
averaging	1/12 Octave
source	Headset Mic 3 Low Range
latitude	0
longitude	0
saved	2021/07/10 14:47
peak	19.0Hz
