* Measurement data measured by REW V5.20.13
* Source: P:\pw_04.txt
* Format: Comma/Tab/Space delimited data
* Dated: Oct 15, 2022 8:23:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: pw_04
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1475.000000	63.855
1500.000000	64.010
1525.000000	64.167
1550.000000	64.325
1575.000000	64.483
1600.000000	64.640
1625.000000	64.797
1650.000000	64.954
1675.000000	65.109
1700.000000	65.264
1725.000000	65.418
1750.000000	65.571
1775.000000	65.722
1800.000000	65.872
1825.000000	66.020
1850.000000	66.167
1875.000000	66.312
1900.000000	66.455
1925.000000	66.596
1950.000000	66.735
1975.000000	66.871
2000.000000	67.005
2030.000000	67.163
2060.000000	67.317
2090.000000	67.466
2120.000000	67.612
2140.000000	67.706
2180.000000	67.889
2200.000000	67.977
2240.000000	68.146
2270.000000	68.267
2300.000000	68.382
2330.000000	68.491
2360.000000	68.594
2400.000000	68.721
2430.000000	68.808
2470.000000	68.909
2500.000000	68.973
2540.000000	69.039
2580.000000	69.086
2620.000000	69.120
2650.000000	69.138
2690.000000	69.152
2720.000000	69.157
2760.000000	69.155
2800.000000	69.145
2850.000000	69.121
2900.000000	69.088
2950.000000	69.047
3000.000000	69.000
3040.000000	68.961
3070.000000	68.931
3110.000000	68.891
3150.000000	68.851
3200.000000	68.799
3250.000000	68.747
3300.000000	68.694
3350.000000	68.640
3400.000000	68.587
3450.000000	68.533
3500.000000	68.480
3550.000000	68.427
3600.000000	68.374
3650.000000	68.323
3700.000000	68.273
3750.000000	68.224
3820.000000	68.158
3870.000000	68.115
3950.000000	68.059
4000.000000	68.037
4060.000000	68.028
4120.000000	68.033
4180.000000	68.045
4250.000000	68.063
4310.000000	68.079
4370.000000	68.094
4440.000000	68.110
4500.000000	68.120
4550.000000	68.125
4620.000000	68.128
4680.000000	68.124
4750.000000	68.112
4820.000000	68.086
4870.000000	68.058
4940.000000	67.995
5000.000000	67.913
5080.000000	67.758
5150.000000	67.586
5220.000000	67.394
5300.000000	67.158
5380.000000	66.913
5450.000000	66.692
5520.000000	66.470
5600.000000	66.215
5700.000000	65.902
5800.000000	65.600
5900.000000	65.322
6000.000000	65.087
6080.000000	64.936
6150.000000	64.826
6220.000000	64.729
6300.000000	64.629
6400.000000	64.511
6500.000000	64.399
6600.000000	64.292
6700.000000	64.189
6800.000000	64.090
6900.000000	63.993
7000.000000	63.899
7100.000000	63.807
7200.000000	63.717
7300.000000	63.628
7400.000000	63.539
7500.000000	63.451
7620.000000	63.344
7750.000000	63.225
7880.000000	63.098
8000.000000	62.966
8120.000000	62.816
8250.000000	62.637
8380.000000	62.448
8500.000000	62.270
8620.000000	62.089
8750.000000	61.891
8850.000000	61.738
9000.000000	61.508
9120.000000	61.324
9250.000000	61.125
9380.000000	60.927
9500.000000	60.747
9620.000000	60.569
9750.000000	60.381
9880.000000	60.204
10000.000000	60.053
10150.000000	59.886
10300.000000	59.738
10440.000000	59.608
10600.000000	59.464
10750.000000	59.330
10900.000000	59.194
11060.000000	59.045
11200.000000	58.909
11380.000000	58.725
11500.000000	58.594
11720.000000	58.324
11800.000000	58.211
12060.000000	57.757
12200.000000	57.450
12410.000000	56.930
12500.000000	56.695
12650.000000	56.298
12800.000000	55.901
13150.000000	55.009
13200.000000	54.888
13400.000000	54.431
13600.000000	54.030
13800.000000	53.731
14000.000000	53.628
14300.000000	54.136
14500.000000	54.918
14750.000000	55.989
15000.000000	56.635
15250.000000	56.594
15500.000000	56.013
15750.000000	55.145
16000.000000	54.148
16250.000000	53.089
16500.000000	51.992
16750.000000	50.866
17000.000000	49.716
17250.000000	48.542
17500.000000	47.348
17750.000000	46.135
18000.000000	44.905
18250.000000	43.659
18500.000000	42.399
18750.000000	41.129
19000.000000	39.852
19250.000000	38.581
19500.000000	37.360
19750.000000	36.300
20000.000000	35.621
